RANK,NAME,TEAM,POS,AGE,GP,MPG,USG,TO,FTA,FT,2PA,2PP,3PA,3PP,eFG,TS,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,win
199,De'Anthony Melton,Phi,G,24.9,77.0,27.9,16.5,13.5,87.0,0.793,248.0,0.484,403.0,0.39,0.546,0.566,10.1,4.1,2.6,1.6,0.5,1.3,14.2,12.7,16.8,6.8,111.7,106.0,0.659
200,Brandon Clarke,Mem,F,26.6,56.0,19.5,17.7,13.6,137.0,0.723,343.0,0.665,6.0,0.167,0.658,0.682,10.0,5.5,1.3,0.6,0.7,1.0,15.5,11.3,16.8,8.5,131.0,100.8,0.622
1,Joel Embiid,Phi,C,30.3,6.0,41.4,35.7,15.8,78.0,0.859,94.0,0.489,39.0,0.333,0.492,0.592,33.0,10.8,5.7,1.2,1.5,4.2,43.8,38.7,49.5,12.2,117.1,108.0,0.573
2,Jalen Brunson,Nyk,G,27.8,13.0,39.8,36.4,9.3,120.0,0.775,256.0,0.488,84.0,0.31,0.482,0.536,32.4,3.3,7.5,0.8,0.2,2.7,35.7,39.8,43.2,9.3,114.8,114.7,0.61
3,Damian Lillard,Mil,G,33.9,4.0,39.1,31.4,10.0,38.0,0.974,33.0,0.424,48.0,0.417,0.543,0.64,31.3,3.3,5.0,1.0,0.0,2.3,34.5,36.3,39.5,8.2,127.6,115.7,0.598
4,Shai Gilgeous-Alexander,Okc,G,25.9,10.0,39.9,32.3,8.9,81.0,0.79,187.0,0.508,37.0,0.432,0.531,0.582,30.2,7.2,6.4,1.3,1.7,2.2,37.4,36.6,43.8,11.2,118.3,106.9,0.695
5,Tyrese Maxey,Phi,G,23.6,6.0,44.6,28.1,8.6,28.0,0.893,83.0,0.53,55.0,0.4,0.558,0.595,29.8,5.2,6.8,0.8,0.3,2.2,35.0,36.7,41.8,9.1,120.9,113.3,0.573
6,Donovan Mitchell,Cle,G,27.8,10.0,38.2,34.3,11.1,65.0,0.815,143.0,0.545,82.0,0.354,0.54,0.584,29.6,5.4,4.7,1.3,0.3,2.8,35.0,34.3,39.7,9.5,111.5,108.3,0.585
7,Luka Doncic,Dal,G,25.3,22.0,40.9,33.4,15.1,153.0,0.765,293.0,0.536,211.0,0.322,0.514,0.556,28.9,9.5,8.1,1.9,0.4,4.1,38.3,37.0,46.4,12.8,109.0,108.3,0.61
8,Nikola Jokic,Den,C,29.3,12.0,40.2,30.0,14.1,71.0,0.901,191.0,0.623,53.0,0.264,0.574,0.625,28.7,13.4,8.7,1.4,0.7,3.3,42.1,37.3,50.8,14.9,125.6,106.4,0.695
9,Anthony Davis,Lal,C,31.3,5.0,41.6,25.7,10.5,26.0,0.808,88.0,0.67,5.0,0.0,0.634,0.665,27.8,15.6,4.0,0.4,1.6,2.2,43.4,31.8,47.4,11.6,127.4,105.1,0.573
10,LeBron James,Lal,F,39.5,5.0,40.8,29.0,16.1,23.0,0.739,73.0,0.63,26.0,0.385,0.616,0.637,27.8,6.8,8.8,2.4,1.0,3.8,34.6,36.6,43.4,11.6,118.5,110.4,0.573
11,Anthony Edwards,Min,G,22.9,16.0,40.5,29.5,13.8,102.0,0.814,209.0,0.526,115.0,0.4,0.552,0.598,27.6,7.0,6.5,1.5,0.6,3.3,34.6,34.1,41.1,10.7,116.0,106.7,0.683
12,Devin Booker,Pho,G,27.6,4.0,41.5,26.6,14.4,41.0,0.951,45.0,0.556,20.0,0.35,0.546,0.662,27.5,3.3,6.0,1.8,0.3,2.8,30.8,33.5,36.8,7.9,130.4,108.4,0.598
13,Paolo Banchero,Orl,F,21.6,7.0,37.5,33.9,17.6,49.0,0.755,109.0,0.477,40.0,0.4,0.51,0.554,27.0,8.6,4.0,1.1,0.6,4.6,35.6,31.0,39.6,10.4,102.2,107.4,0.573
14,Kevin Durant,Pho,F,35.7,4.0,42.1,25.6,12.9,34.0,0.824,55.0,0.582,12.0,0.417,0.59,0.653,26.8,6.5,3.3,0.5,1.5,2.5,33.3,30.0,36.5,7.9,122.6,114.5,0.598
15,Jayson Tatum,Bos,F,26.3,19.0,40.4,29.2,11.8,137.0,0.861,234.0,0.513,138.0,0.283,0.48,0.549,25.0,9.7,6.3,1.1,0.7,2.6,34.7,31.3,40.9,11.4,114.1,104.9,0.78
16,Khris Middleton,Mil,F,32.9,6.0,38.3,28.2,10.9,30.0,0.9,83.0,0.53,31.0,0.355,0.531,0.582,24.7,9.2,4.7,0.5,0.2,2.3,33.8,29.3,38.5,10.7,117.0,107.1,0.598
17,Jaylen Brown,Bos,F,27.6,19.0,37.2,28.6,13.1,103.0,0.66,229.0,0.607,110.0,0.327,0.569,0.591,23.9,5.9,3.3,1.2,0.6,2.7,29.8,27.2,33.1,8.3,111.1,106.9,0.78
